"GUID","ZH AP Grundlagen (1995): Bestandesänderung zwischen 1900 und 1979","ZH AP Grundlagen (1995): Dringlichkeit Aktionsplan","ZH AP Grundlagen (1995): Gefährdung","ZH AP Grundlagen (1995): Häufigkeit 1890-1940","ZH AP Grundlagen (1995): Häufigkeit 1967-1979","ZH AP Grundlagen (1995): Häufigkeit 2010 prognostiziert","ZH AP Grundlagen (1995): Vorkommen KT ZH"
"000D8C10-85DF-4F81-B610-734F3FEC2A45","Bestand ungefähr gleichbleibend","nicht beurteilt","nicht gefährdet","weit verbreitet","weit verbreitet","weit verbreitet","Zürich"
"0010AFCB-BE3A-4F41-8DFD-46A3CCC7F42B","leichte Abnahme","nicht beurteilt","nicht gefährdet","häufig","weit verbreitet","weit verbreitet","Zürich"
"001B5F1F-93DB-473F-9B10-E38D577CF98C","nicht beurteilt","nicht beurteilt","keine Angabe","keine Angabe","keine Angabe","keine Angabe","kommt nicht vor"
"00420E7B-993A-48CA-A403-417DD06167E4","leichte Abnahme","nicht beurteilt","nicht gefährdet","häufig","weit verbreitet","weit verbreitet","Zürich"
"0088CADE-8AFC-4560-867F-6DF349D18300","nicht beurteilt","nicht beurteilt","keine Angabe","keine Angabe","keine Angabe","keine Angabe","kommt nicht vor"
"0094D581-00D2-437A-8F18-BEC1E230E81E","nicht beurteilt","nicht beurteilt","keine Angabe","keine Angabe","keine Angabe","keine Angabe","kommt nicht vor"
"00AE5B88-BBAF-4E5C-98DF-B355D1DD07C0","Bestand ungefähr gleichbleibend","nicht beurteilt","nicht gefährdet","häufig","weit verbreitet","weit verbreitet","Zürich"
"00B442BD-E1B1-45EC-AD46-9DE7CEA31B21","nicht beurteilt","nicht beurteilt","keine Angabe","keine Angabe","keine Angabe","keine Angabe","kommt nicht vor"
"00D46913-4D33-4423-AF5B-EABE61E1C278","unbekannt","nicht beurteilt","selten","unbekannt","selten/gelegentlich: >50 Populationen","unbekannt","Zürich"
"00D6CBFC-A49D-4252-A8C5-9A4B493C88E6","nicht beurteilt","nicht beurteilt","keine Angabe","keine Angabe","keine Angabe","keine Angabe","kommt nicht vor"
