"GUID","ZH AP Grundlagen (1995): Art kommt in Lebensraum vor: Beziehungspartner","ZH AP Grundlagen (1995): Art kommt in Lebensraum vor: Beziehungspartner GUID(s)"
"000D8C10-85DF-4F81-B610-734F3FEC2A45","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'1: Wald','GUID':'295B3719-F780-4A71-BCD1-CD67386DAF93'}]]","295B3719-F780-4A71-BCD1-CD67386DAF93"
"000D8C10-85DF-4F81-B610-734F3FEC2A45","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'2: Riedwiesen und Moore','GUID':'F4FC308A-D0D0-4678-A8FD-B7AE9572AD4D'}]]","F4FC308A-D0D0-4678-A8FD-B7AE9572AD4D"
"000D8C10-85DF-4F81-B610-734F3FEC2A45","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'8a: Hecken, häufig','GUID':'A09BC943-AE7C-4C3E-AC6A-D5E896222924'}]]","A09BC943-AE7C-4C3E-AC6A-D5E896222924"
"0010AFCB-BE3A-4F41-8DFD-46A3CCC7F42B","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'1: Wald','GUID':'295B3719-F780-4A71-BCD1-CD67386DAF93'}]]","295B3719-F780-4A71-BCD1-CD67386DAF93"
"0010AFCB-BE3A-4F41-8DFD-46A3CCC7F42B","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'2: Riedwiesen und Moore','GUID':'F4FC308A-D0D0-4678-A8FD-B7AE9572AD4D'}]]","F4FC308A-D0D0-4678-A8FD-B7AE9572AD4D"
"0010AFCB-BE3A-4F41-8DFD-46A3CCC7F42B","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'3b: Trocken-/Magerwiesen i.w.S.','GUID':'33D62AC9-92D2-42A6-9B9B-7B6B96D9A037'}]]","33D62AC9-92D2-42A6-9B9B-7B6B96D9A037"
"0010AFCB-BE3A-4F41-8DFD-46A3CCC7F42B","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'4b: Fettwiesen i.w.S.','GUID':'8C17F9B2-DE2B-4FFD-8777-795D11D7FED9'}]]","8C17F9B2-DE2B-4FFD-8777-795D11D7FED9"
"0010AFCB-BE3A-4F41-8DFD-46A3CCC7F42B","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'5b: Hochstamm-Obstgärten i.w.S.','GUID':'679EE0CC-9A93-48DD-B695-DBE7DA344AE4'}]]","679EE0CC-9A93-48DD-B695-DBE7DA344AE4"
"00420E7B-993A-48CA-A403-417DD06167E4","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'1: Wald','GUID':'295B3719-F780-4A71-BCD1-CD67386DAF93'}]]","295B3719-F780-4A71-BCD1-CD67386DAF93"
"00420E7B-993A-48CA-A403-417DD06167E4","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'3a: Trocken-/Magerwiesen i.e.S.','GUID':'2ED89968-1291-47BF-847B-F2541B092DD2'}]]","2ED89968-1291-47BF-847B-F2541B092DD2"
"00420E7B-993A-48CA-A403-417DD06167E4","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'3b: Trocken-/Magerwiesen i.w.S.','GUID':'33D62AC9-92D2-42A6-9B9B-7B6B96D9A037'}]]","33D62AC9-92D2-42A6-9B9B-7B6B96D9A037"
"00AE5B88-BBAF-4E5C-98DF-B355D1DD07C0","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'1: Wald','GUID':'295B3719-F780-4A71-BCD1-CD67386DAF93'}]]","295B3719-F780-4A71-BCD1-CD67386DAF93"
"00AE5B88-BBAF-4E5C-98DF-B355D1DD07C0","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'2: Riedwiesen und Moore','GUID':'F4FC308A-D0D0-4678-A8FD-B7AE9572AD4D'}]]","F4FC308A-D0D0-4678-A8FD-B7AE9572AD4D"
"0133B13E-1706-4172-AFF0-4AA2C69D24E2","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'1: Wald','GUID':'295B3719-F780-4A71-BCD1-CD67386DAF93'}]]","295B3719-F780-4A71-BCD1-CD67386DAF93"
"0133B13E-1706-4172-AFF0-4AA2C69D24E2","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'2: Riedwiesen und Moore','GUID':'F4FC308A-D0D0-4678-A8FD-B7AE9572AD4D'}]]","F4FC308A-D0D0-4678-A8FD-B7AE9572AD4D"
"0133B13E-1706-4172-AFF0-4AA2C69D24E2","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'3a: Trocken-/Magerwiesen i.e.S.','GUID':'2ED89968-1291-47BF-847B-F2541B092DD2'}]]","2ED89968-1291-47BF-847B-F2541B092DD2"
"0133B13E-1706-4172-AFF0-4AA2C69D24E2","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'3b: Trocken-/Magerwiesen i.w.S.','GUID':'33D62AC9-92D2-42A6-9B9B-7B6B96D9A037'}]]","33D62AC9-92D2-42A6-9B9B-7B6B96D9A037"
"01361FFA-0576-49C5-A173-7C4180DA5414","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'1: Wald','GUID':'295B3719-F780-4A71-BCD1-CD67386DAF93'}]]","295B3719-F780-4A71-BCD1-CD67386DAF93"
"01361FFA-0576-49C5-A173-7C4180DA5414","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'3b: Trocken-/Magerwiesen i.w.S.','GUID':'33D62AC9-92D2-42A6-9B9B-7B6B96D9A037'}]]","33D62AC9-92D2-42A6-9B9B-7B6B96D9A037"
"01361FFA-0576-49C5-A173-7C4180DA5414","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'4b: Fettwiesen i.w.S.','GUID':'8C17F9B2-DE2B-4FFD-8777-795D11D7FED9'}]]","8C17F9B2-DE2B-4FFD-8777-795D11D7FED9"
"01A655AD-93B8-4E2E-A27C-BC70195ACD69","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'2: Riedwiesen und Moore','GUID':'F4FC308A-D0D0-4678-A8FD-B7AE9572AD4D'}]]","F4FC308A-D0D0-4678-A8FD-B7AE9572AD4D"
"01BBA668-0350-4D3A-BE15-8B404838EFAC","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'6: Äcker','GUID':'50FEE5B6-9651-4AD8-AE60-90BD3B5131A9'}]]","50FEE5B6-9651-4AD8-AE60-90BD3B5131A9"
"01D457C0-C156-48AF-A136-6EB91767F052","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'3a: Trocken-/Magerwiesen i.e.S.','GUID':'2ED89968-1291-47BF-847B-F2541B092DD2'}]]","2ED89968-1291-47BF-847B-F2541B092DD2"
"01D457C0-C156-48AF-A136-6EB91767F052","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'3b: Trocken-/Magerwiesen i.w.S.','GUID':'33D62AC9-92D2-42A6-9B9B-7B6B96D9A037'}]]","33D62AC9-92D2-42A6-9B9B-7B6B96D9A037"
"01DA2E02-D9E8-4F62-84E7-6D4362984090","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'1: Wald','GUID':'295B3719-F780-4A71-BCD1-CD67386DAF93'}]]","295B3719-F780-4A71-BCD1-CD67386DAF93"
"01E3A448-944A-471D-8D76-FA2431A588D5","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'2: Riedwiesen und Moore','GUID':'F4FC308A-D0D0-4678-A8FD-B7AE9572AD4D'}]]","F4FC308A-D0D0-4678-A8FD-B7AE9572AD4D"
"02A898BD-CB51-4F05-B8FE-317115F828A4","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'4a: Fettwiesen i.e.S.','GUID':'1A94C681-A04F-41A5-A65F-8096138CA4DA'}]]","1A94C681-A04F-41A5-A65F-8096138CA4DA"
"02A898BD-CB51-4F05-B8FE-317115F828A4","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'4b: Fettwiesen i.w.S.','GUID':'8C17F9B2-DE2B-4FFD-8777-795D11D7FED9'}]]","8C17F9B2-DE2B-4FFD-8777-795D11D7FED9"
"02B19CED-1B20-4AA6-A7D4-984849EC2685","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'6: Äcker','GUID':'50FEE5B6-9651-4AD8-AE60-90BD3B5131A9'}]]","50FEE5B6-9651-4AD8-AE60-90BD3B5131A9"
"02B53216-4920-478E-B2A8-DC1E503975EA","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'4a: Fettwiesen i.e.S.','GUID':'1A94C681-A04F-41A5-A65F-8096138CA4DA'}]]","1A94C681-A04F-41A5-A65F-8096138CA4DA"
"02B53216-4920-478E-B2A8-DC1E503975EA","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'4b: Fettwiesen i.w.S.','GUID':'8C17F9B2-DE2B-4FFD-8777-795D11D7FED9'}]]","8C17F9B2-DE2B-4FFD-8777-795D11D7FED9"
"034828F0-7F2F-43A0-B67C-992C5BA6E7BF","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'1: Wald','GUID':'295B3719-F780-4A71-BCD1-CD67386DAF93'}]]","295B3719-F780-4A71-BCD1-CD67386DAF93"
"034828F0-7F2F-43A0-B67C-992C5BA6E7BF","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'2: Riedwiesen und Moore','GUID':'F4FC308A-D0D0-4678-A8FD-B7AE9572AD4D'}]]","F4FC308A-D0D0-4678-A8FD-B7AE9572AD4D"
"0361AEFB-E50D-4F88-8E1F-54F760A8FD17","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'3a: Trocken-/Magerwiesen i.e.S.','GUID':'2ED89968-1291-47BF-847B-F2541B092DD2'}]]","2ED89968-1291-47BF-847B-F2541B092DD2"
"0361AEFB-E50D-4F88-8E1F-54F760A8FD17","[[{'Gruppe':'Lebensräume','Taxonomie':'ZH FNS (1995): Beziehungen zw. Flora und Lebensräumen','Name':'3b: Trocken-/Magerwiesen i.w.S.','GUID':'33D62AC9-92D2-42A6-9B9B-7B6B96D9A037'}]]","33D62AC9-92D2-42A6-9B9B-7B6B96D9A037"
