"GUID","ZH Artwert (1995): Artwert KT ZH","ZH Artwert (1995): Artwertberechnung Anteil am CH-Bestand","ZH Artwert (1995): Artwertberechnung Areal weltweit","ZH Artwert (1995): Artwertberechnung Gefährdung CH Punkte","ZH Artwert (1995): Artwertberechnung Gefährdung EU Punkte","ZH Artwert (1995): Artwertberechnung Gefährdung ZH Punkte","ZH Artwert (1995): Neophyt"
"01BD11B2-7B5B-4D5A-95A4-7AF765E7A978",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"07CBF8E8-74FE-45F0-9F42-BC5407D2C725",2,"klein: <1/4 (0 Punkte)","gross (0 Punkte)","","","","true"
"0A653D71-949C-4380-8453-4F721218F62D",0,"klein: <1/4 (0 Punkte)","gross (0 Punkte)","","","","true"
"0BBC0958-7684-4E13-8030-AB84202C8A87",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"0C4CC3CE-23C4-4723-A2CF-95734989ADB7",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"0C5EA869-D1EB-498E-9F71-C6E4B013FC68",0,"klein: <1/4 (0 Punkte)","gross (0 Punkte)","","","","true"
"0C9F7AD6-86D3-4304-9509-E7D0F45BCAF5",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"0F37C556-09B5-412D-9797-C33157A32074",4,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"0FC8A96B-D74B-4749-A26E-8B084C33C7E3",2,"klein: <1/4 (0 Punkte)","mittel (2 Punkte)","","","","true"
"10875CAF-6F0B-4EEC-A03A-49A89A18E032",0,"klein: <1/4 (0 Punkte)","gross (0 Punkte)","","","","true"
"10A02C21-3FC1-4DD1-8C70-A9DB0AE68DD5",0,"klein: <1/4 (0 Punkte)","gross (0 Punkte)","","","","true"
"10BA162F-F273-4784-8025-FEC656892133",0,"klein: <1/4 (0 Punkte)","gross (0 Punkte)","","","","true"
"10E8F8E7-46D0-474F-962F-867134AC90DD",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"1358D932-8944-49A5-A6D5-6C73C861EFB0",0,"klein: <1/4 (0 Punkte)","gross (0 Punkte)","","","","true"
"15324209-ACFF-4329-9F08-3795D4B8C241",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"165507F2-67D6-44E2-A2BA-1A62AB3D1ACE",7,"mittel: 1/4-1/2 (2 Punkte)","gross (0 Punkte)","","","","true"
"1731875A-0812-4D4D-BDF8-246D77F9DA57",7,"mittel: 1/4-1/2 (2 Punkte)","mittel (2 Punkte)","","","","true"
"1740BCF2-9437-4348-A635-063470C6C7BF",0,"klein: <1/4 (0 Punkte)","gross (0 Punkte)","","","","true"
"1775EC65-91AA-4E10-AC35-EAC149EF5226",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"185F56DC-51AF-4C33-88E7-843DDD84BEA7",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"1C440FA1-D879-489C-AD38-4BB9433A8883",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"1DA03ABB-C80C-421A-BB29-C69B2BB412C7",0,"klein: <1/4 (0 Punkte)","gross (0 Punkte)","","","","true"
"1F18ABA8-8084-4FA2-AD69-2AEE0DA18528",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"2115E918-8680-4916-95E8-2B2FBBA3042E",0,"klein: <1/4 (0 Punkte)","gross (0 Punkte)","","","","true"
"21D585BD-1349-4982-86B9-CB781D7BA677",4,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"2323CBC6-785B-4945-9A97-1578E5BB755A",3,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"2457CEAC-1C39-4D9F-9536-6193FD10078C",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"288F5E89-E2AE-4E05-93D4-4F904035A008",0,"unbekannt (0 Punkte)","unbekannt (0 Punkte)","","","","true"
"29293B49-A91B-4409-87B4-0C0F310D1FCA",0,"klein: <1/4 (0 Punkte)","gross (0 Punkte)","","","","true"
"297FB883-5A11-480B-9B60-5F3D24B784EB",0,"nicht beurteilt (0 Punkte)","nicht beurteilt (0 Punkte)",0,0,0,"true"
