"GUID","SISF Index 2 (2005): Artname vollständig","Blaue Liste (1998): Anwendungshäufigkeit zur Erhaltung","Blaue Liste (1998): Anwendungshäufigkeit zur Förderung","Blaue Liste (1998): Aufwand","Blaue Liste (1998): Bestandesentwicklung","Blaue Liste (1998): Erfolgsaussichten bei Wiederansiedlung","Blaue Liste (1998): Erfolgsaussichten","Blaue Liste (1998): Lebensraum","Blaue Liste (1998): Schutzmassnahmen","Blaue Liste (1998): Wirksamkeit"
"00D46913-4D33-4423-AF5B-EABE61E1C278","Chrysanthemum vulgare (L.) Bernh.","noch nie","noch nie","klein bis mittel","Bestandesentwicklung im Untersuchungsgebiet unbekannt","nicht beurteilt","befriedigend","Ruderalfluren (mehrjährig); Böschungen; Äcker","Ruderalflächen, extensiv bewirtschaftete Weg- und Strassenränder schaffen; Ackerbrachen anlegen.","Erfolgversprechende Schutzmassnahmen bekannt, aber nicht angewandt"
"01361FFA-0576-49C5-A173-7C4180DA5414","Viola alba Besser s.str. (Weisses Veilchen)","Einzelfälle","noch nie","mittel","Bestandeszunahme gesamthaft im Untersuchungsgebiet vorwiegend infolge Schutzmassnahmen","nicht beurteilt","unbekannt","Wärmeliebende Wälder; Kolline Laubwälder; Nährstoffreiche Waldsäume; Glatthaferwiesen","Lichte Wälder in warmen Lagen fördern; extensiv genutzte Wiesen in warmen Lagen und in der Stadt Zürich fördern.","Schutzmassnahmen bewirkten mindestens lokale Erhaltung"
"01BBA668-0350-4D3A-BE15-8B404838EFAC","Kickxia elatine (L.) Dumort. (Pfeilblättriges Schlangenmaul)","noch nie","Einzelfälle","mittel","Bestandesentwicklung im Untersuchungsgebiet unbekannt","gut","gut","Äcker; Ruderalflächen (einjährig)","Extensiv bewirtschaftete Äcker und Ackerrandstreifen anlegen; eher trockene Ruderalstellen fördern.","Einsatz oder Wirkung von Schutzmassnahmen nicht beurteilt oder unklar"
"01E3A448-944A-471D-8D76-FA2431A588D5","Taraxacum palustre aggr. (Sumpf-Pfaffenröhrlein)","häufig","Einzelfälle","mittel","Bestandesabnahme gesamthaft im Untersuchungsgebiet ohne oder trotz Schutzmassnahmen","nicht beurteilt","gut","Basische Kleinseggenrieder; Pfeifengras-Streuwiesen","Feuchtwiesen mit offenen Stellen regenerieren.","Schutzmassnahmen bewirkten mindestens lokale Erhaltung"
"028D5C6B-FD9D-4C8D-8225-E4A81082FCCA","Alyssum calycinum L.","noch nie","noch nie","klein bis mittel","Bestandesentwicklung im Untersuchungsgebiet unbekannt","nicht beurteilt","befriedigend","Trockenrasen; ;","Offene Ruderalflächen schaffen; lückige Trockenwie; sen in warmen Lagen auf basenreichen Böden fördern (im Norden des Untersuchungsgebietes).","Erfolgversprechende Schutzmassnahmen bekannt, aber nicht angewandt"
"02AD3637-8143-49BA-ACAC-B8175A531B25","Caucalis lappula Grande","Einzelfälle","Einzelfälle","mittel","Bestandesentwicklung im Untersuchungsgebiet unbekannt","nicht beurteilt","befriedigend","Äcker; Ruderalfluren (einjährig); Trockene Trittfluren","Extensiv bewirtschaftete Äcker und Ackerrandstreifen in trockenen, sehr warmen Lagen anlegen (im Unter-suchungsgebiet v.a. im Kt. SH); trockene, ruderale Böschungen und Wegränder fördern.","Schutzmassnahmen bewirkten mindestens lokale Erhaltung"
"03246CCD-9584-4F56-930E-22C438D01F5A","Orobanche vulgaris Poir.","noch nie","noch nie","unbekannt","Bestandesentwicklung im Untersuchungsgebiet unbekannt","nicht beurteilt","unbekannt","Trocken- und Halbtrocken-rasen","unbekannt","Keine Schutzmassnahmen bekannt"
"0361AEFB-E50D-4F88-8E1F-54F760A8FD17","Centaurea scabiosa subsp. grinensis (Reut.) Nyman (Zartblättrige Flockenblume)","Einzelfälle","noch nie","mittel","Bestandesabnahme gesamthaft im Untersuchungsgebiet ohne oder trotz Schutzmassnahmen","nicht beurteilt","befriedigend bis gut","Trockenrasen","Steinige Trockenwiesen in warmen Lagen regenerie-ren (im Norden des Untersuchungsgebietes).","Schutzmassnahmen bewirkten mindestens lokale Erhaltung"
"036ADC76-3FB5-4F97-8882-415C85FD2122","Inula helvetica Weber (Schweizerischer Alant)","Einzelfälle","Einzelfälle","mittel","Bestandesabnahme gesamthaft im Untersuchungsgebiet ohne oder trotz Schutzmassnahmen","befriedigend","gering","Auenwälder; Nährstoffarme Waldsäume im Uferbereich; Pfeifengras-Streuwiesen","Ufergebüsche und lichte, nasse Wälder fördern; Ried-wiesen regenerieren.","Schutzmassnahmen bewirkten mindestens lokale Erhaltung"
"03881606-7CDD-4ECA-9EF0-F6EB18283D9C","Moneses uniflora (L.) A. Gray (Moosauge)","noch nie","noch nie","mittel","Bestandesentwicklung im Untersuchungsgebiet unbekannt","nicht beurteilt","unbekannt","Montane und subalpine Nadel-wälder","Lichte Wälder fördern.","Erfolgversprechende Schutzmassnahmen bekannt, aber nicht angewandt"
"038DA97A-1034-46A3-ACC5-11FD1CBB98C3","Gentiana asclepiadea L. (Schwalbenwurz-Enzian)","häufig","mehrfach","mittel","Bestandesstabilisierung gesamthaft im Untersuchungsgebiet vorwiegend infolge Schutzmassnahmen","nicht beurteilt","befriedigend","Pfeifengras-Streuwiesen; Montane Laub- und Misch-wälder","Feuchtgebiete regenerieren und Streue sehr spät schneiden; lichte Wälder fördern.","Schutzmassnahmen bewirkten mindestens lokale Förderung"
"03B07E03-E3C4-409D-AF38-C04EB48DAF2E","Glyceria maxima (Hartm.) Holmb. (Grosses Süssgras)","mehrfach","mehrfach","mittel","Bestandeszunahme gesamthaft im Untersuchungsgebiet vorwiegend infolge Schutzmassnahmen","nicht beurteilt","befriedigend","Röhricht; Altwasser von Flüssen; Tümpel, Gräben","Natürliche Uferbereiche an langsamfliessenden Gewässern und Gräben regenerieren.","Schutzmassnahmen bewirkten mindestens lokale Förderung"
"047B2685-3F79-4CF5-9F6B-B7FF929B4FFE","Thalictrum minus L. s.str. (Kleine Wiesenraute)","noch nie","noch nie","mittel","Bestandesentwicklung im Untersuchungsgebiet unbekannt","nicht beurteilt","unbekannt","Wärmeliebende Wälder; Kolline Laubwälder; Montane Laub- und Misch-wälder","Lichte Wälder fördern; Felspartien freistellen.","Erfolgversprechende Schutzmassnahmen bekannt, aber nicht angewandt"
"04A08298-C6E0-42F5-9C7C-4A5263F144BF","Leonurus cardiaca L. (Löwenschwanz)","noch nie","noch nie","klein bis mittel","Bestandesentwicklung im Untersuchungsgebiet unbekannt","nicht beurteilt","unbekannt","Ruderalfluren (mehrjährig);","Ruderalflächen in trockenen, warmen Lagen und spät gemähte Gebüschränder fördern.","Erfolgversprechende Schutzmassnahmen bekannt, aber nicht angewandt"
"05473188-AE0F-4385-A66C-66DA53870723","Polycnemum majus A. Braun (Grosses Knorpelkraut)","noch nie","noch nie","klein bis mittel","Bestandesentwicklung im Untersuchungsgebiet unbekannt","nicht beurteilt","befriedigend","Ruderalfluren (einjährig); Eisenbahnränder; Äcker","Ruderalflächen schaffen; in Bahnarealen weniger Herbizide einsetzen, v.a. keine Bodenherbizide, Ritzen nicht ausfugen.","Erfolgversprechende Schutzmassnahmen bekannt, aber nicht angewandt"
"05E7222F-5458-4BF4-91D8-0102D00110E7","Ceratophyllum submersum L. (Glattes Hornblatt)","mehrfach","Einzelfälle","mittel","Bestandesstabilisierung gesamthaft im Untersuchungsgebiet vorwiegend infolge Schutzmassnahmen","gut","befriedigend","Schwimmblatt-Vegetation ; Kleinseen – Weiher; Altwassern von Flüssen","Warme Gewässer (Kleinseen und Altwasser) in Tief-lagen fördern.","Schutzmassnahmen bewirkten mindestens lokale Erhaltung"
"067CC1D7-B085-4351-B010-068670728E14","Lathyrus hirsutus L. (Behaartfrüchtige Platterbse)","noch nie","noch nie","mittel","Bestandesentwicklung im Untersuchungsgebiet unbekannt","nicht beurteilt","unbekannt","Äcker","Extensiv bewirtschaftete Äcker in warmen Lagen anlegen.","Erfolgversprechende Schutzmassnahmen bekannt, aber nicht angewandt"
"06A04A4C-70A4-4553-B154-275B77A0CE52","Veratrum lobelianum Bernh.","mehrfach","noch nie","mittel","Bestandesentwicklung im Untersuchungsgebiet unbekannt","nicht beurteilt","unbekannt","Fettwiesen  und -weiden; Lägerstellen; Subalpine Hochstaudenfluren","Stickstoffreiche Weiden und Lägerstellen auf kalkhaltigen Böden in höheren Lagen und Hochstaudenfluren fördern.","Schutzmassnahmen bewirkten mindestens lokale Erhaltung"
